,Title,Price,Original_Price,Discount,Link,Rating,Brand,Category,Price_Tier
89,Haruharu wonder Black Rice Moisture 5.5 Soft Cleansing Gel 100ml,11.9,17.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA221116713,4.7,Haruharu,Cream,Budget
90,AHC 10 Revolution Real Eye Cream For Face 35mL Double Set,31.25,46.0,32.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230920357,4.8,AHC,Cream,Mid
91,LANEIGE Water Bank BlueHA 2 Step Essential Set,58.5,78.0,25.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220414411,4.9,LANEIGE,Set,Premium
92,primera Youth Radiance Vitatinol Serum 21g (+Serum 7g),37.6,47.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240423308,4.8,primera,Serum,Mid
93,Olive Young Care Plus Spot Cover Patch Calming 252 Counts,18.65,21.0,11.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121579,4.9,Olive,Cream,Budget
94,SKIN1004 Madagascar Centella Light Cleansing Oil 200mL,15.92,22.0,28.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220113369,4.7,SKIN1004,Cleanser,Budget
95,numbuzin No. 5+ Vitamin Boosting Essential Toner 200mL,22.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121733,4.7,numbuzin,Toner,Mid
96,Beauty of Joseon Dynasty Cream 100mL,34.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240322503,4.9,Beauty,Cream,Mid
97,CNP Derma+ Answer Active Boost 1:1 Ampule 30ml Set (+15ml),31.72,46.0,31.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240724783,4.8,CNP,Ampoule,Mid
98,Beauty of Joseon Radiance Cleansing Balm 100mL,19.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220715371,4.8,Beauty,Cleanser,Budget
99,BIOHEAL BOH Probioderm 3D Lifting Ampoule 30mL Special Set (+3D Lifting Cream 20mL),33.04,41.0,19.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121786,4.9,BIOHEAL,Serum,Mid
100,Dr.G Royal Black Snail Special Set (First Essence 165mL+Cream 50mL+Eye Cream 10mL+Cream Mask Sheet 1ea),66.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220414647,4.7,Dr.G,Essence,Luxury
101,ONE THING Houttuynia Cordata Extract 300ml,16.2,24.0,32.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430371,,ONE,Toner,Budget
102,Purito Seoul Mighty Bamboo Panthenol Cream 100mL,18.4,23.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240724704,4.8,Purito,Cream,Budget
103,mixsoon Bean Essence 50mL (+Centella Asiatica Essence 20mL),31.5,35.0,10.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220615136,4.7,mixsoon,Essence,Mid
104,ZEROID Intensive Lotion 160ml Set (+Cream 25ml),31.45,37.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241026417,5.0,ZEROID,Cream,Mid
105,BIOHEAL BOH Probioderm 3D Lifting Cream 50ml Refill Set (+Cream Mask Sheet 2ea),44.27,82.0,46.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430134,,BIOHEAL,Serum,Premium
106,Purito Seoul Wonder Releaf Centella Serum Unscented 60ml,18.4,23.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240624128,4.7,Purito,Serum,Budget
107,ROUND LAB 1025 Dokdo Cleanser 150mL Double Pack,31.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230217718,4.8,ROUND,Cleanser,Mid
108,Dr.G Black Snail Retinol Ampoule 50ml Special Set (+Cream 15ml+Tone Up Sun Cream 2ml),24.48,34.0,28.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240422999,4.7,Dr.G,Sunscreen,Mid
109,REJURAN Derma Healer Pore Tightening Ampoule 30ml Set (+Ampoule 2ml*5ea+Toner Pad 2P*2ea),31.94,55.0,42.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430144,4.7,REJURAN,Toner,Mid
110,MEDIHEAL Vitamin C Brightening Serum 40mL double set,30.4,49.0,38.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241026560,4.8,MEDIHEAL,Serum,Mid
111,LANEIGE Cream Skin 170mL (+50mL),31.2,39.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925584,4.8,LANEIGE,Cream,Mid
112,Beauty of Joseon Revive Eye Serum Ginseng + Retinol 30mL,17.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220816048,4.7,Beauty,Serum,Budget
113,Haruharu wonder Black Rice Moisture 5.5 Soft Cleansing Gel 100ml,11.9,17.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA221116713,4.7,Haruharu,Cream,Budget
114,AHC 10 Revolution Real Eye Cream For Face 35mL Double Set,31.25,46.0,32.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230920357,4.8,AHC,Cream,Mid
115,LANEIGE Water Bank BlueHA 2 Step Essential Set,58.5,78.0,25.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220414411,4.9,LANEIGE,Set,Premium
116,primera Youth Radiance Vitatinol Serum 21g (+Serum 7g),37.6,47.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240423308,4.8,primera,Serum,Mid
117,Olive Young Care Plus Spot Cover Patch Calming 252 Counts,18.65,21.0,11.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121579,4.9,Olive,Cream,Budget
118,SKIN1004 Madagascar Centella Light Cleansing Oil 200mL,15.92,22.0,28.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220113369,4.7,SKIN1004,Cleanser,Budget
119,numbuzin No. 5+ Vitamin Boosting Essential Toner 200mL,22.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121733,4.7,numbuzin,Toner,Mid
120,Beauty of Joseon Dynasty Cream 100mL,34.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240322503,4.9,Beauty,Cream,Mid
